"quest_id","node_id","choice_id","target","op","value"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","P","add","10"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","V","add","-8"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","O","add","-6"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","W","add","4"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","M","add","-2"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","V","add","8"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","O","add","10"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","P","add","-3"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","M","add","3"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","W","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_C","S","add","12"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_C","O","add","-8"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_C","W","add","4"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_C","M","add","-1"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","Food","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","W","add","3"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","O","add","-8"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","V","add","-5"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","M","add","-3"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","Food","add","-2"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","Med","add","-1"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","O","add","8"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","V","add","4"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","M","add","5"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_C","Food","add","-1"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_C","O","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_C","M","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_C","S","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_A","P","add","6"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_A","M","add","3"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_A","O","add","2"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_B","V","add","7"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_B","O","add","6"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_B","P","add","-2"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_C","S","add","10"
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_C","O","add","-6"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_A","O","add","4"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_A","W","add","6"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_A","P","add","2"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_B","P","add","8"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_B","W","add","4"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_B","V","add","-4"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_B","Wounds","add","1"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_C","V","add","8"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_C","O","add","6"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_C","W","add","5"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_C","P","add","-2"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_D","S","add","10"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_D","W","add","5"
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_D","O","add","-5"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_A","P","add","6"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_A","Food","add","3"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_A","V","add","-6"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_A","O","add","-4"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_B","O","add","8"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_B","V","add","5"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_B","M","add","4"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_B","Food","add","1"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_C","S","add","4"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_C","P","add","3"
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_C","O","add","-6"
