"quest_id","band_min","band_max","label","effects_json","set_flags_json"
"Q6_CROWN_OR_COVENANT",80,100,"clean_success","[{""target"":""A2"",""op"":""add"",""value"":8}]","{""Q6_result"":""clean_success""}"
"Q6_CROWN_OR_COVENANT",65,79,"costly_success","[{""target"":""A2"",""op"":""add"",""value"":4}]","{""Q6_result"":""costly_success""}"
"Q6_CROWN_OR_COVENANT",50,64,"contested","[{""target"":""A2"",""op"":""add"",""value"":0}]","{""Q6_result"":""contested""}"
"Q6_CROWN_OR_COVENANT",0,49,"failure","[{""target"":""A2"",""op"":""add"",""value"":-6}]","{""Q6_result"":""failure""}"
"Q7_WHALE_ROAD",80,100,"clean_success","[{""target"":""A2"",""op"":""add"",""value"":8}]","{""Q7_result"":""clean_success""}"
"Q7_WHALE_ROAD",65,79,"costly_success","[{""target"":""A2"",""op"":""add"",""value"":4}]","{""Q7_result"":""costly_success""}"
"Q7_WHALE_ROAD",50,64,"contested","[{""target"":""A2"",""op"":""add"",""value"":0}]","{""Q7_result"":""contested""}"
"Q7_WHALE_ROAD",0,49,"failure","[{""target"":""A2"",""op"":""add"",""value"":-6}]","{""Q7_result"":""failure""}"
"Q8_KNIVES_UNDER_SNOW",80,100,"clean_success","[{""target"":""A2"",""op"":""add"",""value"":8}]","{""Q8_result"":""clean_success""}"
"Q8_KNIVES_UNDER_SNOW",65,79,"costly_success","[{""target"":""A2"",""op"":""add"",""value"":4}]","{""Q8_result"":""costly_success""}"
"Q8_KNIVES_UNDER_SNOW",50,64,"contested","[{""target"":""A2"",""op"":""add"",""value"":0}]","{""Q8_result"":""contested""}"
"Q8_KNIVES_UNDER_SNOW",0,49,"failure","[{""target"":""A2"",""op"":""add"",""value"":-6}]","{""Q8_result"":""failure""}"
"Q9_SIEGE_OF_NESODDEN",80,100,"clean_success","[{""target"":""A2"",""op"":""add"",""value"":8}]","{""Q9_result"":""clean_success""}"
"Q9_SIEGE_OF_NESODDEN",65,79,"costly_success","[{""target"":""A2"",""op"":""add"",""value"":4}]","{""Q9_result"":""costly_success""}"
"Q9_SIEGE_OF_NESODDEN",50,64,"contested","[{""target"":""A2"",""op"":""add"",""value"":0}]","{""Q9_result"":""contested""}"
"Q9_SIEGE_OF_NESODDEN",0,49,"failure","[{""target"":""A2"",""op"":""add"",""value"":-6}]","{""Q9_result"":""failure""}"
"Q10_THAW_RECKONING",80,100,"clean_success","[{""target"":""A2"",""op"":""add"",""value"":8}]","{""Q10_result"":""clean_success""}"
"Q10_THAW_RECKONING",65,79,"costly_success","[{""target"":""A2"",""op"":""add"",""value"":4}]","{""Q10_result"":""costly_success""}"
"Q10_THAW_RECKONING",50,64,"contested","[{""target"":""A2"",""op"":""add"",""value"":0}]","{""Q10_result"":""contested""}"
"Q10_THAW_RECKONING",0,49,"failure","[{""target"":""A2"",""op"":""add"",""value"":-6}]","{""Q10_result"":""failure""}"
