"quest_id","node_id","choice_id","text","condition","costs_json","set_flags_json","notes"
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_A","Iron Tithe","","[]","{""governance"":""iron_tithe""}",""
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_B","Fjord Charter","","[]","{""governance"":""fjord_charter""}",""
"Q6_CROWN_OR_COVENANT","Q6_C1","Q6_C1_C","Ash Covenant","","[]","{""governance"":""ash_covenant""}",""
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_A","Turn boats away","","[]","{}",""
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_B","Accept and ration","","[]","{}",""
"Q6_CROWN_OR_COVENANT","Q6_C2","Q6_C2_C","Smuggle selected families","","[]","{}","If ending_vector == 'exile', apply additional stealth bonus in runtime resolver."
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_A","Show crew only","","[]","{""ring_visibility"":""crew_only""}",""
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_B","Show jarls publicly","","[]","{""ring_visibility"":""public_jarls""}",""
"Q6_CROWN_OR_COVENANT","Q6_C3","Q6_C3_C","Give to seers for reading","","[]","{""ring_visibility"":""seer_reading""}",""
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_A","Ice-channel stealth","","[]","{""route_plan"":""ice_stealth""}",""
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_B","Open-sea strike run","","[]","{""route_plan"":""open_sea""}",""
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_C","Village-chain escort pact","","[]","{""route_plan"":""escort_pact""}",""
"Q7_WHALE_ROAD","Q7_C1","Q7_C1_D","Ash-fog ritual route","","[]","{""route_plan"":""ash_fog""}",""
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_A","Pirate cargo first","","[]","{""cargo_policy"":""pirate_first""}",""
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_B","Equal split","","[]","{""cargo_policy"":""equal_split""}",""
"Q7_WHALE_ROAD","Q7_C2","Q7_C2_C","Decoy convoy","","[]","{""cargo_policy"":""decoy""}",""
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_A","Dump silver, save food","","[]","{""blizzard_call"":""save_food""}",""
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_B","Keep all cargo","","[]","{""blizzard_call"":""keep_all""}",""
"Q7_WHALE_ROAD","Q7_C3","Q7_C3_C","Rescue civilians first","","[]","{""blizzard_call"":""rescue_civilians""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_A","Torture/interrogation","","[]","{""investigation_method"":""torture""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_B","Public inquest","","[]","{""investigation_method"":""inquest""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_C","Shadow surveillance","","[]","{""investigation_method"":""shadow""}","If ending_vector == 'exile', add +4 investigation accuracy in runtime resolver."
"Q8_KNIVES_UNDER_SNOW","Q8_C1","Q8_C1_D","Seer divination","","[]","{""investigation_method"":""divination""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C2","Q8_C2_A","Accuse pirate splinter","","[]","{""accusation"":""pirate_splinter""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C2","Q8_C2_B","Accuse jarl envoy","","[]","{""accusation"":""jarl_envoy""}",""
"Q8_KNIVES_UNDER_SNOW","Q8_C2","Q8_C2_C","Accuse rogue acolyte","","[]","{""accusation"":""rogue_acolyte""}",""
